offer__capacity,offer__surface
25 postes,120 m
50 postes,255 m
14 postes,56 m
22 postes,95 m
20 postes,100 m
4 postes,22 m
16 postes,50 m
5 postes,50 m
6 postes,30 m
10 postes,20 m
8 postes,25 m
4 postes,15 m
12 postes,15 m
4 postes,9 m
3 postes,8 m
9 postes,11 m
6 postes,55 m
4 postes,73 m
3 postes,103 m
2 postes,45 m
1 poste,15 m
5 postes,15 m
14 postes,23 m
18 postes,18 m
25 postes,20 m
9 postes,60 m
3 postes,16 m
2 postes,95 m
6 postes,70 m
4 postes,170 m
2 postes,100 m
6 postes,48 m
4 postes,35 m
16 postes,20 m
12 postes,10 m
25 postes,14 m
25 postes,60 m
25 postes,13 m
9 postes,200 m
15 postes,100 m
6 postes,25 m
offer__capacity,offer__surface,offer_title__link
25 postes,120 m,"
          Location bureau Paris 75009
        "
50 postes,255 m,"
          Location bureau Paris 75002
        "
14 postes,56 m,"
          Location bureau Issy-les-Moulineaux 75015
        "
22 postes,95 m,"
          Location bureau Paris 75016
        "
20 postes,100 m,"
          Location bureau Paris 75010
        "
4 postes,22 m,"
          Location bureau Paris 75016
        "
16 postes,50 m,"
          Location bureau Paris 75009
        "
5 postes,50 m,"
          Location bureau Paris 75018
        "
6 postes,30 m,"
          Location bureau Paris 75010
        "
10 postes,20 m,"
          Location bureau Paris 75018
        "
8 postes,25 m,"
          Location bureau Paris 75002
        "
4 postes,15 m,"
          Location bureau Paris 75017
        "
12 postes,15 m,"
          Location bureau Paris 75020
        "
4 postes,9 m,"
          Location bureau Paris 75009
        "
3 postes,8 m,"
          Location bureau Paris 75009
        "
9 postes,11 m,"
          Location bureau Paris 75014
        "
6 postes,55 m,"
          Location bureau Paris 75014
        "
4 postes,73 m,"
          Location bureau Paris 75014
        "
3 postes,103 m,"
          Location bureau Paris 75014
        "
2 postes,45 m,"
          Location bureau Paris 75017
        "
1 poste,15 m,"
          Location bureau Paris 75019
        "
5 postes,15 m,"
          Location bureau Paris 75010
        "
14 postes,23 m,"
          Location bureau Paris 75016
        "
18 postes,18 m,"
          Location bureau Paris 75016
        "
25 postes,20 m,"
          Location bureau Paris 75002
        "
9 postes,60 m,"
          Location bureau Paris 75008
        "
3 postes,16 m,"
          Location bureau Paris 75008
        "
2 postes,95 m,"
          Location bureau Paris 75008
        "
6 postes,70 m,"
          Location bureau Paris 75010
        "
4 postes,170 m,"
          Location bureau Paris 75008
        "
2 postes,100 m,"
          Location bureau Paris 75015
        "
6 postes,48 m,"
          Location bureau Paris 75015
        "
4 postes,35 m,"
          Location bureau Paris 75015
        "
16 postes,20 m,"
          Location bureau Paris 75002
        "
12 postes,10 m,"
          Location bureau Paris 75002
        "
25 postes,14 m,"
          Location bureau Paris 75002
        "
25 postes,60 m,"
          Location bureau Paris 75010
        "
25 postes,13 m,"
          Location bureau Paris 75010
        "
9 postes,200 m,"
          Location bureau Paris 75009
        "
15 postes,100 m,"
          Location bureau Paris 75002
        "
6 postes,25 m,"
          Location bureau Paris 75008
        "
offer__capacity,offer__surface,offer_title__link
25 postes,120 m,"
          Location bureau Paris 75009
        "
50 postes,255 m,"
          Location bureau Paris 75002
        "
14 postes,56 m,"
          Location bureau Issy-les-Moulineaux 75015
        "
22 postes,95 m,"
          Location bureau Paris 75016
        "
20 postes,100 m,"
          Location bureau Paris 75010
        "
4 postes,22 m,"
          Location bureau Paris 75016
        "
16 postes,50 m,"
          Location bureau Paris 75009
        "
5 postes,50 m,"
          Location bureau Paris 75018
        "
6 postes,30 m,"
          Location bureau Paris 75010
        "
10 postes,20 m,"
          Location bureau Paris 75018
        "
8 postes,25 m,"
          Location bureau Paris 75002
        "
4 postes,15 m,"
          Location bureau Paris 75017
        "
12 postes,15 m,"
          Location bureau Paris 75020
        "
4 postes,9 m,"
          Location bureau Paris 75009
        "
3 postes,8 m,"
          Location bureau Paris 75009
        "
9 postes,11 m,"
          Location bureau Paris 75014
        "
6 postes,55 m,"
          Location bureau Paris 75014
        "
4 postes,73 m,"
          Location bureau Paris 75014
        "
3 postes,103 m,"
          Location bureau Paris 75014
        "
2 postes,45 m,"
          Location bureau Paris 75017
        "
1 poste,15 m,"
          Location bureau Paris 75019
        "
5 postes,15 m,"
          Location bureau Paris 75010
        "
14 postes,23 m,"
          Location bureau Paris 75016
        "
18 postes,18 m,"
          Location bureau Paris 75016
        "
25 postes,20 m,"
          Location bureau Paris 75002
        "
9 postes,60 m,"
          Location bureau Paris 75008
        "
3 postes,16 m,"
          Location bureau Paris 75008
        "
2 postes,95 m,"
          Location bureau Paris 75008
        "
6 postes,70 m,"
          Location bureau Paris 75010
        "
4 postes,170 m,"
          Location bureau Paris 75008
        "
2 postes,100 m,"
          Location bureau Paris 75015
        "
6 postes,48 m,"
          Location bureau Paris 75015
        "
4 postes,35 m,"
          Location bureau Paris 75015
        "
16 postes,20 m,"
          Location bureau Paris 75002
        "
12 postes,10 m,"
          Location bureau Paris 75002
        "
25 postes,14 m,"
          Location bureau Paris 75002
        "
25 postes,60 m,"
          Location bureau Paris 75010
        "
25 postes,13 m,"
          Location bureau Paris 75010
        "
9 postes,200 m,"
          Location bureau Paris 75009
        "
15 postes,100 m,"
          Location bureau Paris 75002
        "
6 postes,25 m,"
          Location bureau Paris 75008
        "
offer__capacity,offer__surface,offer_title__link
25 postes,120 m,"
          Location bureau Paris 75009
        "
50 postes,255 m,"
          Location bureau Paris 75002
        "
14 postes,56 m,"
          Location bureau Issy-les-Moulineaux 75015
        "
22 postes,95 m,"
          Location bureau Paris 75016
        "
20 postes,100 m,"
          Location bureau Paris 75010
        "
4 postes,22 m,"
          Location bureau Paris 75016
        "
16 postes,50 m,"
          Location bureau Paris 75009
        "
5 postes,50 m,"
          Location bureau Paris 75018
        "
6 postes,30 m,"
          Location bureau Paris 75010
        "
10 postes,20 m,"
          Location bureau Paris 75018
        "
8 postes,25 m,"
          Location bureau Paris 75002
        "
4 postes,15 m,"
          Location bureau Paris 75017
        "
12 postes,15 m,"
          Location bureau Paris 75020
        "
4 postes,9 m,"
          Location bureau Paris 75009
        "
3 postes,8 m,"
          Location bureau Paris 75009
        "
9 postes,11 m,"
          Location bureau Paris 75014
        "
6 postes,55 m,"
          Location bureau Paris 75014
        "
4 postes,73 m,"
          Location bureau Paris 75014
        "
3 postes,103 m,"
          Location bureau Paris 75014
        "
2 postes,45 m,"
          Location bureau Paris 75017
        "
1 poste,15 m,"
          Location bureau Paris 75019
        "
5 postes,15 m,"
          Location bureau Paris 75010
        "
14 postes,23 m,"
          Location bureau Paris 75016
        "
18 postes,18 m,"
          Location bureau Paris 75016
        "
25 postes,20 m,"
          Location bureau Paris 75002
        "
9 postes,60 m,"
          Location bureau Paris 75008
        "
3 postes,16 m,"
          Location bureau Paris 75008
        "
2 postes,95 m,"
          Location bureau Paris 75008
        "
6 postes,70 m,"
          Location bureau Paris 75010
        "
4 postes,170 m,"
          Location bureau Paris 75008
        "
2 postes,100 m,"
          Location bureau Paris 75015
        "
6 postes,48 m,"
          Location bureau Paris 75015
        "
4 postes,35 m,"
          Location bureau Paris 75015
        "
16 postes,20 m,"
          Location bureau Paris 75002
        "
12 postes,10 m,"
          Location bureau Paris 75002
        "
25 postes,14 m,"
          Location bureau Paris 75002
        "
25 postes,60 m,"
          Location bureau Paris 75010
        "
25 postes,13 m,"
          Location bureau Paris 75010
        "
9 postes,200 m,"
          Location bureau Paris 75009
        "
15 postes,100 m,"
          Location bureau Paris 75002
        "
6 postes,25 m,"
          Location bureau Paris 75008
        "
